State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-04-09_02:00:00,2022-04-09_03:00:00,F32,11,27488,27805,401,49,4,6,151,19,2,86
Running,2022-04-09_03:00:00,2022-04-09_04:00:00,F32,11,27463,27798,405,46,1,7,165,38,8,70
Running,2022-04-09_04:00:00,2022-04-09_05:00:00,F32,11,27444,27805,393,29,3,9,200,38,9,73
Running,2022-04-09_05:00:00,2022-04-09_06:00:00,F32,11,27443,27813,388,62,2,5,160,23,5,113
Running,2022-04-09_06:00:00,2022-04-09_07:00:00,F32,11,27467,27793,387,62,9,5,130,38,2,80
Running,2022-04-09_07:00:00,2022-04-09_08:00:00,F32,11,27147,27475,400,62,8,5,127,47,7,72
Running,2022-04-09_08:00:00,2022-04-09_09:00:00,F32,11,27483,27810,388,51,6,4,129,71,6,60
Running,2022-04-09_09:00:00,2022-04-09_10:00:00,F32,11,27507,27829,375,54,2,5,140,35,3,83
Running,2022-04-09_10:00:00,2022-04-09_11:00:00,F32,11,27505,27794,415,39,5,9,134,26,10,66
Running,2022-04-09_11:00:00,2022-04-09_12:00:00,F32,11,27408,27824,382,51,13,3,114,56,9,170
Running,2022-04-09_12:00:00,2022-04-09_13:00:00,F32,11,27644,27916,291,33,7,10,129,31,7,55
Running,2022-04-09_13:00:00,2022-04-09_14:00:00,F32,11,27658,27929,274,40,4,5,108,57,9,48
Running,2022-04-09_14:00:00,2022-04-09_15:00:00,F32,11,27574,27924,272,34,2,3,127,129,11,44
Running,2022-04-09_15:00:00,2022-04-09_16:00:00,F32,11,27715,27947,259,40,2,7,93,36,5,49
Running,2022-04-09_16:00:00,2022-04-09_17:00:00,F32,11,27746,27971,234,26,4,5,94,38,6,52
Running,2022-04-09_17:00:00,2022-04-09_18:00:00,F32,11,27677,27946,266,38,2,6,74,74,11,64
Running,2022-04-09_18:00:00,2022-04-09_19:00:00,F32,11,27663,27942,259,64,7,3,76,66,7,56
Running,2022-04-09_19:00:00,2022-04-09_20:00:00,F32,11,27644,27950,252,48,8,4,92,100,6,48
Running,2022-04-09_20:00:00,2022-04-09_21:00:00,F32,11,27640,27947,255,71,1,8,100,59,7,61
Running,2022-04-09_21:00:00,2022-04-09_22:00:00,F32,11,27666,27949,251,73,7,6,78,57,6,56
Running,2022-04-09_22:00:00,2022-04-09_23:00:00,F32,11,27625,27941,254,56,4,4,115,64,9,64
Running,2022-04-09_23:00:00,2022-04-10_00:00:00,F32,11,27619,27954,242,72,6,5,134,58,7,53
Running,2022-04-10_00:00:00,2022-04-10_01:00:00,F32,11,27603,27953,247,95,7,3,115,70,7,53
Running,2022-04-10_01:00:00,2022-04-10_02:00:00,F32,11,27597,27941,263,103,4,10,129,41,5,52
Running,2022-04-10_02:00:00,2022-04-10_03:00:00,F32,11,27617,27954,248,91,12,3,121,51,7,52
Running,2022-04-10_03:00:00,2022-04-10_04:00:00,F32,11,27530,27932,264,119,3,4,136,71,7,62
Running,2022-04-10_04:00:00,2022-04-10_05:00:00,F32,11,27533,27936,260,124,7,7,127,79,10,49
Running,2022-04-10_05:00:00,2022-04-10_06:00:00,F32,11,27518,27936,262,115,10,6,126,86,8,67
Running,2022-04-10_06:00:00,2022-04-10_07:00:00,F32,11,27439,27930,256,149,8,6,119,132,4,73
Running,2022-04-10_07:00:00,2022-04-10_08:00:00,F32,11,27509,27947,251,167,7,8,119,67,5,65
